Device Type,Device Family,Device Model,Recommended Software Version,Min. Supported Software Version ¹,Min. Cisco DNA Center Release,Cisco DNA Essentials license ²,Cisco DNA Advantage license,Inventory,Topology,SWIM,PnP,Cisco DNA Assurance,ENFV & Routing,Application Policy,Patching (SMU),IWAN,Cisco SD-Access³,,
Switch,Cisco Nexus 9500 Series Switches,N9K-C9504,NXOS 9.2.1,NXOS 9.2.1,1.2.8,Y,N,Y,Y,Y,Y,Y,NA,NA,N,NA,N,,
Switch,Cisco Nexus 9500 Series Switches,N9K-C9508,NXOS 9.2.1,NXOS 9.2.1,1.2.8,Y,N,Y,Y,Y,Y,Y,NA,NA,N,NA,N,,
Switch,Cisco Nexus 9500 Series Switches,N9K-C9516,NXOS 9.2.1,NXOS 9.2.1,1.2.8,Y,N,Y,Y,Y,Y,Y,NA,NA,N,NA,N,,
IOT Switch,Cisco Catalyst IE3200 Rugged Series,IE-3200-8P2S-E,IOS-XE 16.10.1e,IOS-XE 16.10.1e,1.2.10,Y,NA,Y,Y,Y,Y,Y,N,Y,NA,NA,NA,,
IOT Switch,Cisco Catalyst IE3200 Rugged Series,IE-3200-8T2S-E,IOS-XE 16.10.1e,IOS-XE 16.10.1e,1.2.10,Y,NA,Y,Y,Y,Y,Y,N,Y,NA,NA,NA,,
IOT Switch,Cisco Catalyst IE3300 Rugged Series,IE-3300-8P2S-E,IOS-XE 16.11.1c,IOS-XE 16.10.1e,1.2.10,Y,Y,Y,Y,Y,Y,Y,N,Y,NA,NA,Y5,,
IOT Switch,Cisco Catalyst IE3300 Rugged Series,IE-3300-8T2S-E,IOS-XE 16.11.1c,IOS-XE 16.10.1e,1.2.10,Y,Y,Y,Y,Y,Y,Y,N,Y,NA,NA,Y5,,
IoT Switch,Cisco Catalyst IE3400 Rugged Series,IE-3400-8T2S-E,IOS-XE 16.11.1c,IOS-XE 16.11.1c,1.3,Y,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA,Y5,,
IOT Switch,Cisco Catalyst IE3400 Rugged Series,IE-3400H-16FT,IOS-XE 16.12.1s,IOS-XE 16.12.1s,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,N,Y5,,
IOT Switch,Cisco Catalyst IE3400 Rugged Series,IE-3400H-24FT,IOS-XE 16.12.1s,IOS-XE 16.12.1s,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,N,Y5,,
IOT Switch,Cisco Catalyst IE3400 Rugged Series,IE-3400H-8FT,IOS-XE 16.12.1s,IOS-XE 16.12.1s,1.3.1.0,Y,Y,Y,Y,Y,Y,Y,NA,N,NA,N,Y5,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16PTC-G-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16PTC-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16PTC-G-NX,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16PTC-G-NX,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-200016PTCGNX-RF,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16T67-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16T67P-G-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16TC-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16TC-G-E,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16TC-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16TC-G-N,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16TC-G-X,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-16TC-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-24T67-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4S-TS-G-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4S-TS-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4T-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4T-G-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4T-G-L,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4TS-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
IoT Switch,Cisco Industrial Ethernet 2000 Series Switches,IE-2000-4TS-G-B,IOS 15.2(6)E1,IOS 15.2(6)E1,1.2,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,,
